56,	3,	4,	1.5,
56,	4,	5,	1.5,
58,	56,	5,	1.5,
57,	6,	7,	1.5,
63,	23,	61,	1.5,
64,	24,	25,	1.5,
19,	2,	20,	1.5,
65,	19,	20,	1.5,
68,	18,	65,	1.5,
62,	58,	57,	1.5,
69,	66,	57,	1.5,
69,	60,	66,	1.5,
70,	69,	21,	1.5,
63,	22,	23,	1.5,
63,	14,	60,	1.5,
65,	20,	3,	1.5,
61,	23,	24,	1.5,
64,	12,	61,	1.5,
64,	25,	59,	1.5,
64,	61,	24,	1.5,
67,	59,	26,	1.5,
67,	27,	30,	1.5,
29,	27,	28,	1.5,
28,	8,	29,	1.5,
29,	30,	27,	1.5,
67,	1,	59,	1.5,
68,	65,	56,	1.5,
58,	5,	6,	1.5,
68,	62,	17,	1.5,
57,	7,	21,	1.5,
58,	6,	57,	1.5,
68,	58,	62,	1.5,
59,	25,	26,	1.5,
59,	1,	11,	1.5,
60,	14,	15,	1.5,
66,	60,	15,	1.5,
61,	12,	13,	1.5,
63,	61,	13,	1.5,
66,	62,	57,	1.5,
62,	16,	17,	1.5,
63,	13,	14,	1.5,
70,	63,	60,	1.5,
64,	59,	11,	1.5,
64,	11,	12,	1.5,
65,	18,	19,	1.5,
65,	3,	56,	1.5,
66,	15,	16,	1.5,
66,	16,	62,	1.5,
67,	26,	27,	1.5,
67,	30,	1,	1.5,
68,	17,	18,	1.5,
68,	56,	58,	1.5,
69,	57,	21,	1.5,
70,	21,	22,	1.5,
70,	22,	63,	1.5,
70,	60,	69,	1.5,
100,	95,	99,	2,
71,	2,	19,	2,
95,	74,	87,	2,
88,	37,	86,	2,
83,	15,	75,	2,
79,	75,	14,	2,
79,	34,	75,	2,
84,	33,	79,	2,
32,	12,	31,	2,
31,	12,	11,	2,
11,	1,	31,	2,
84,	12,	32,	2,
84,	79,	13,	2,
102,	87,	83,	2,
87,	74,	83,	2,
88,	87,	36,	2,
73,	72,	18,	2,
72,	71,	19,	2,
82,	78,	54,	2,
96,	94,	78,	2,
78,	53,	54,	2,
80,	52,	76,	2,
81,	51,	80,	2,
77,	49,	50,	2,
85,	48,	49,	2,
48,	46,	47,	2,
46,	9,	47,	2,
46,	48,	45,	2,
85,	45,	48,	2,
85,	77,	44,	2,
97,	80,	90,	2,
94,	76,	78,	2,
91,	41,	90,	2,
78,	76,	53,	2,
82,	55,	71,	2,
71,	55,	10,	2,
101,	96,	93,	2,
71,	10,	2,	2,
72,	19,	18,	2,
92,	39,	89,	2,
73,	18,	17,	2,
74,	73,	17,	2,
74,	17,	16,	2,
83,	16,	15,	2,
75,	15,	14,	2,
102,	34,	35,	2,
90,	80,	76,	2,
76,	52,	53,	2,
81,	50,	51,	2,
77,	43,	44,	2,
82,	54,	55,	2,
94,	91,	90,	2,
79,	14,	13,	2,
79,	33,	34,	2,
97,	81,	80,	2,
80,	51,	52,	2,
97,	77,	81,	2,
81,	77,	50,	2,
93,	71,	72,	2,
99,	92,	98,	2,
102,	83,	75,	2,
83,	74,	16,	2,
84,	13,	12,	2,
84,	32,	33,	2,
85,	49,	77,	2,
85,	44,	45,	2,
86,	37,	38,	2,
92,	38,	39,	2,
87,	35,	36,	2,
88,	36,	37,	2,
95,	88,	86,	2,
95,	87,	88,	2,
89,	39,	40,	2,
94,	90,	76,	2,
90,	41,	42,	2,
97,	90,	42,	2,
91,	89,	40,	2,
91,	40,	41,	2,
98,	89,	96,	2,
92,	86,	38,	2,
93,	82,	71,	2,
101,	100,	99,	2,
96,	78,	82,	2,
94,	89,	91,	2,
99,	95,	86,	2,
95,	73,	74,	2,
96,	82,	93,	2,
96,	89,	94,	2,
97,	42,	43,	2,
97,	43,	77,	2,
101,	99,	98,	2,
98,	92,	89,	2,
100,	93,	72,	2,
99,	86,	92,	2,
100,	72,	73,	2,
100,	73,	95,	2,
101,	98,	96,	2,
101,	93,	100,	2,
102,	75,	34,	2,
102,	35,	87,	2
